,y,x
169,0.022360679774997894,0.28562499999999996
170,0.01677050983124842,0.285
171,0.01677050983124842,0.285
172,0.01677050983124842,0.29062499999999997
173,0.011180339887498947,0.29
174,0.011180339887498947,0.29
175,0.011180339887498947,0.29562499999999997
176,0.0055901699437494665,0.295
177,0.0055901699437494665,0.295
178,0.005590169943749473,0.300625
179,0.0,0.3
180,0.0,0.3
181,0.005590169943749473,0.299375
182,0.005590169943749473,0.305
183,0.005590169943749473,0.305
184,0.011180339887498947,0.304375
185,0.011180339887498947,0.31
186,0.011180339887498947,0.31
187,0.01677050983124842,0.309375
188,0.01677050983124842,0.315
189,0.01677050983124842,0.315
190,0.022360679774997894,0.314375
191,0.022360679774997894,0.32
192,0.022360679774997894,0.32
193,0.02795084971874737,0.319375
194,0.027950849718747367,0.32499999999999996
